dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,0.075020,1.414805,0.062500,0.250000,0.500000,1.000000,6.266240
0.500000,0.290007,1.403501,0.277784,0.430568,0.361136,-0.277729,6.196894
0.500000,0.674733,1.350044,0.666206,0.776844,0.692553,0.662835,6.099048
0.500000,1.125191,1.246821,1.128339,0.924266,0.294843,-0.795420,6.023534
0.500000,1.586089,1.112987,1.608275,0.959873,0.071215,-0.447255,5.983472
0.500000,2.059232,0.963430,2.104493,0.992435,0.065122,-0.012186,5.975909
0.500000,2.548833,0.813178,2.616630,1.024274,0.063679,-0.002886,6.000209
0.500000,3.060485,0.678869,3.145616,1.057973,0.067397,0.007436,6.058332
0.500000,3.599171,0.580801,3.693157,1.095080,0.074215,0.013635,6.153830
0.500000,4.164863,0.544070,4.260039,1.133765,0.077370,0.006310,0.005269
0.500000,4.745549,0.594751,4.842933,1.165789,0.064047,-0.026645,0.172422
0.500000,5.314716,0.747718,5.432297,1.178727,0.025876,-0.076342,0.352755
0.500000,5.843301,0.995851,6.016225,1.167856,-0.021740,-0.095232,0.522012
0.500000,6.312181,1.313281,6.582449,1.132449,-0.070815,-0.098151,0.663971
0.500000,6.761911,1.787663,7.236128,1.307358,0.349818,0.841266,0.977024
0.500000,7.029883,2.421219,7.924025,1.375793,0.136871,-0.425894,1.361465
0.500000,7.070039,3.052270,8.556352,1.264654,-0.222278,-0.718297,1.629979
0.500000,7.003041,3.599357,9.107526,1.102349,-0.324610,-0.204664,1.732832
0.500000,6.928325,4.075355,9.589353,0.963653,-0.277393,0.094433,1.696547
0.500000,6.908353,4.480349,9.994838,0.810971,-0.305364,-0.055941,1.508698
0.500000,6.985160,4.821457,10.344488,0.699299,-0.223345,0.164038,1.234140
0.500000,7.153566,5.246830,10.801984,0.914992,0.431387,1.309463,1.149401
0.500000,7.356323,5.641839,11.245990,0.888013,-0.053957,-0.970688,1.037876
0.500000,7.597793,5.992801,11.671997,0.852014,-0.071998,-0.036083,0.890660
0.500000,7.880103,6.283949,12.077542,0.811088,-0.081852,-0.019707,0.702945
0.500000,8.203534,6.503439,12.468417,0.781751,-0.058675,0.046353,0.486242
0.500000,8.568749,6.648207,12.861278,0.785722,0.007942,0.133233,0.273459
0.500000,8.973293,6.722064,13.272509,0.822462,0.073481,0.131079,0.096992
0.500000,9.408085,6.734177,13.707470,0.869921,0.094918,0.042874,6.250706
0.500000,9.862720,6.697873,14.163551,0.912164,0.084485,-0.020866,6.163160
0.500000,10.330368,6.627358,14.636487,0.945871,0.067414,-0.034141,6.109145
0.500000,10.808228,6.535660,15.123065,0.973156,0.054571,-0.025686,6.082331
0.500000,11.296415,6.434540,15.621615,0.997100,0.047886,-0.013370,6.079431
0.500000,11.797022,6.335453,16.131934,1.020639,0.047078,-0.001617,6.100088
0.500000,12.268224,6.257388,16.609558,0.955248,-0.130781,-0.355718,6.141660
0.500000,12.595057,6.217534,16.938812,0.658509,-0.593478,-0.925393,6.183986
0.500000,12.725225,6.205880,17.069501,0.261377,-0.794264,-0.401573,6.204135
0.500000,12.746252,6.204251,17.090591,0.042181,-0.438392,0.711744,6.207572
0.500000,12.746252,6.204251,17.090591,0.000000,-0.084362,0.708060,6.207572
